1897,John J. McDermott,United States (NY),02:55:10,,Men
1898,Ronald J. MacDonald,Canada,02:42:00,,Men
1899,Lawrence Brignolia,United States (MA),02:54:38,,Men
1900,John Jack Caffery,Canada,02:39:44,,Men
1901,John Jack Caffery,Canada,02:29:23,2nd victory,Men
1902,Sammy Mellor,United States (NY),02:43:12,,Men
1903,John Lorden,United States (MA),02:41:29,,Men
1904,Michael Spring,United States (NY),02:38:04,,Men
1905,Frederick Lorz,United States (NY),02:38:25,,Men
1906,Tim Ford,United States (MA),02:45:45,,Men
1907,Thomas Longboat,Canada,02:24:24,,Men
1908,Thomas Morrissey,United States (NY),02:25:43,,Men
1909,Henri Renaud,United States (NH),02:53:36,,Men
1910,Fred Cameron,Canada,02:28:52,,Men
1911,Clarence DeMar,United States (MA),02:21:39,,Men
1912,Michael J. Ryan,United States (NY),02:21:18,,Men
1913,Fritz Carlson,United States (MN),02:25:14,,Men
1914,James Duffy,Canada,02:25:14,,Men
1915,�douard Fabre,Canada,02:31:41,,Men
1916,Arthur Roth,United States (MA),02:27:16,,Men
1917,Bill Kennedy,United States (NY),02:28:37,,Men
1918,Camp Devens relay team[3],United States (MA),02:29:53,1918 race was relay for 10-man military teams,Men
1919,Carl Linder,United States (MA),02:29:13,,Men
1920,Peter Trivoulides,Greece,02:29:31,Represented Greece at Olympic Games later that year,Men
1921,Frank Zuna,United States (NY),02:18:57,,Men
1922,Clarence DeMar,United States (MA),02:18:10,2nd victory,Men
1923,Clarence DeMar,United States (MA),02:23:47,3rd victory,Men
1924,Clarence DeMar,United States (MA),02:29:40,4th victory,Men
1925,Charles Mellor,United States (IL),02:33:00,,Men
1926,Johnny Miles,Canada,02:25:40,,Men
1927,Clarence DeMar,United States (MA),02:40:22,5th victory,Men
1928,Clarence DeMar,United States (MA),02:37:07,6th victory,Men
1929,Johnny Miles,Canada,02:33:08,2nd victory,Men
1930,Clarence DeMar,United States (MA),02:34:48,7th victory,Men
1931,James Henigan,United States (MA),02:46:45,,Men
1932,Paul de Bruyn,Germany,02:33:36,,Men
1933,Leslie S. Pawson,United States (RI),02:31:01,,Men
1934,Dave Komonen,Canada,02:32:53,,Men
1935,John A. Kelley,United States (MA),02:32:07,,Men
1936,Ellison Brown,United States (RI),02:33:40,,Men
1937,Walter Young,Canada,02:33:20,,Men
1938,Leslie S. Pawson,United States (RI),02:35:34,2nd victory,Men
1939,Ellison Brown,United States (RI),02:28:51,2nd victory,Men
1940,G�rard C�t�,Canada,02:28:28,,Men
1941,Leslie S. Pawson,United States (RI),02:30:38,3rd victory,Men
1942,Joe Smith,United States (MA),02:26:51,,Men
1943,G�rard C�t�,Canada,02:28:25,2nd victory,Men
1944,G�rard C�t�,Canada,02:31:50,3rd victory,Men
1945,John A. Kelley,United States (MA),02:30:40,2nd victory,Men
1946,Stylianos Kyriakides,Greece,02:29:27,,Men
1947,Suh Yun-bok,South Korea,02:25:39,,Men
1948,G�rard C�t�,Canada,02:31:02,4th victory,Men
1949,G�sta Leandersson,Sweden,02:31:50,,Men
1950,Ham Kee-Yong,South Korea,02:32:39,,Men
1951,Shigeki Tanaka,Japan,02:27:45,,Men
1952,Doroteo Flores,Guatemala,02:31:53,Only Guatemalan to ever win the marathon,Men
1953,Keizo Yamada,Japan,02:18:51,,Men
1954,Veikko Karvonen,Finland,02:20:39,,Men
1955,Hideo Hamamura,Japan,02:18:22,,Men
1956,Antti Viskari,Finland,02:14:14,,Men
1957,John J. Kelley,United States (CT),02:20:05,,Men
1958,Franjo Mihali?,Yugoslavia,02:25:54,,Men
1959,Eino Oksanen,Finland,02:22:42,,Men
1960,Paavo Kotila,Finland,02:20:54,,Men
1961,Eino Oksanen,Finland,02:23:39,2nd victory,Men
1962,Eino Oksanen,Finland,02:23:48,3rd victory,Men
1963,Aur�le Vandendriessche,Belgium,02:18:58,,Men
1964,Aur�le Vandendriessche,Belgium,02:19:59,2nd victory,Men
1965,Morio Shigematsu,Japan,02:16:33,,Men
1966,Kenji Kimihara,Japan,02:17:11,,Men
1967,Dave McKenzie,New Zealand,02:15:45,,Men
1968,Amby Burfoot,United States (CT),02:22:17,,Men
1969,Yoshiaki Unetani,Japan,02:13:49,,Men
1970,Ron Hill,United Kingdom,02:10:30,,Men
1971,�lvaro Mej�a,Colombia,02:18:45,,Men
1972,Olavi Suomalainen,Finland,02:15:39,,Men
1973,Jon Anderson,United States (OR),02:16:03,,Men
1974,Neil Cusack,Ireland,02:13:39,,Men
1975,Bill Rodgers,United States (MA),02:09:55,,Men
1976,Jack Fultz,United States (VA),02:20:19,,Men
1977,Jerome Drayton,Canada,02:14:46,,Men
1978,Bill Rodgers,United States (MA),02:10:13,2nd victory,Men
1979,Bill Rodgers,United States (MA),02:09:27,3rd victory,Men
1980,Bill Rodgers,United States (MA),02:12:11,4th victory,Men
1981,Toshihiko Seko,Japan,02:09:26,,Men
1982,Alberto Salazar,United States (MA),02:08:52,,Men
1983,Greg Meyer,United States (MI),02:09:00,,Men
1984,Geoff Smith,United Kingdom,02:10:34,,Men
1985,Geoff Smith,United Kingdom,02:14:05,2nd victory,Men
1986,Robert de Castella,Australia,02:07:51,,Men
1987,Toshihiko Seko,Japan,02:11:50,2nd victory,Men
1988,Ibrahim Hussein,Kenya,02:08:43,,Men
1989,Abebe Mekonnen,Ethiopia,02:09:06,,Men
1990,Gelindo Bordin,Italy,02:08:19,,Men
1991,Ibrahim Hussein,Kenya,02:11:06,2nd victory,Men
1992,Ibrahim Hussein,Kenya,02:08:14,3rd victory,Men
1993,Cosmas Ndeti,Kenya,02:09:33,,Men
1994,Cosmas Ndeti,Kenya,02:07:15,2nd victory,Men
1995,Cosmas Ndeti,Kenya,02:09:22,3rd victory,Men
1996,Moses Tanui,Kenya,02:09:15,,Men
1997,Lameck Aguta,Kenya,02:10:34,,Men
1998,Moses Tanui,Kenya,02:07:34,2nd victory,Men
1999,Joseph Chebet,Kenya,02:09:52,,Men
2000,Elijah Lagat,Kenya,02:09:47,,Men
2001,Lee Bong-Ju,South Korea,02:09:43,,Men
2002,Rodgers Rop,Kenya,02:09:02,,Men
2003,Robert Kipkoech Cheruiyot,Kenya,02:10:11,,Men
2004,Timothy Cherigat,Kenya,02:10:37,,Men
2005,Hailu Negussie,Ethiopia,02:11:44,,Men
2006,Robert Kipkoech Cheruiyot,Kenya,02:07:14,2nd victory,Men
2007,Robert Kipkoech Cheruiyot,Kenya,02:14:13,3rd victory,Men
2008,Robert Kipkoech Cheruiyot,Kenya,02:07:45,4th victory,Men
2009,Deriba Merga,Ethiopia,02:08:42,,Men
2010,Robert Kiprono Cheruiyot,Kenya,02:05:52,,Men
2011,Geoffrey Mutai,Kenya,02:03:02,Current men's course record,Men
2012,Wesley Korir,Kenya,02:12:40,,Men
2013,Lelisa Desisa Benti,Ethiopia,02:10:22,,Men
2014,Meb Keflezighi,United States (CA),02:08:37,First American win since 1983,Men
2015,Lelisa Desisa Benti,Ethiopia,02:09:17,2nd victory,Men
2016,Lemi Berhanu Hayle,Ethiopia,02:12:45,,Men
2017,Geoffrey Kirui,Kenya,02:09:37,,Men
1966,Bobbi Gibb,United States (MA),03:21:40,(unsanctioned)[4],Women
1967,Bobbi Gibb,United States (CA),03:27:17,(unsanctioned) 2nd victory[4],Women
1968,Bobbi Gibb,United States (CA),03:30:00,(unsanctioned) 3rd victory[4],Women
1969,Sara Mae Berman,United States (MA),03:22:46,(unsanctioned)[4],Women
1970,Sara Mae Berman,United States (MA),03:05:07,(unsanctioned) 2nd victory[4],Women
1971,Sara Mae Berman,United States (MA),03:08:30,(unsanctioned) 3rd victory[4],Women
1972,Nina Kuscsik,United States (NY),03:10:26,first year that women were officially sanctioned,Women
1973,Jacqueline Hansen,United States (CA),03:05:59,,Women
1974,Miki Gorman,United States (CA),02:47:11,,Women
1975,Liane Winter,West Germany,02:42:24,,Women
1976,Kim Merritt,United States (WI),02:47:10,,Women
1977,Miki Gorman,United States (CA),02:48:33,2nd victory,Women
1978,Gayle Barron,United States (GA),02:44:52,,Women
1979,Joan Benoit,United States (ME),02:35:15,,Women
1980,Jacqueline Gareau,Canada,02:34:28,[5],Women
1981,Allison Roe,New Zealand,02:26:46,,Women
1982,Charlotte Teske,West Germany,02:29:33,,Women
1983,Joan Benoit,United States (ME),02:22:43,2nd victory,Women
1984,Lorraine Moller,New Zealand,02:29:28,,Women
1985,Lisa Larsen Weidenbach,United States (MI),02:34:06,,Women
1986,Ingrid Kristiansen,Norway,02:24:55,,Women
1987,Rosa Mota,Portugal,02:25:21,,Women
1988,Rosa Mota,Portugal,02:24:30,2nd victory,Women
1989,Ingrid Kristiansen,Norway,02:24:33,2nd victory,Women
1990,Rosa Mota,Portugal,02:25:24,3rd victory,Women
1991,Wanda Panfil,Poland,02:24:18,,Women
1992,Olga Markova,Russia,02:23:43,,Women
1993,Olga Markova,Russia,02:25:27,2nd victory,Women
1994,Uta Pippig,Germany,02:21:45,,Women
1995,Uta Pippig,Germany,02:25:11,2nd victory,Women
1996,Uta Pippig,Germany,02:27:12,3rd victory,Women
1997,Fatuma Roba,Ethiopia,02:26:23,,Women
1998,Fatuma Roba,Ethiopia,02:23:21,2nd victory,Women
1999,Fatuma Roba,Ethiopia,02:23:25,3rd victory,Women
2000,Catherine Ndereba,Kenya,02:26:11,,Women
2001,Catherine Ndereba,Kenya,02:23:53,2nd victory,Women
2002,Margaret Okayo,Kenya,02:20:43,,Women
2003,Svetlana Zakharova,Russia,02:25:19,,Women
2004,Catherine Ndereba,Kenya,02:24:27,3rd victory,Women
2005,Catherine Ndereba,Kenya,02:25:12,4th victory,Women
2006,Rita Jeptoo,Kenya,02:23:38,,Women
2007,Lidiya Grigoryeva,Russia,02:29:18,,Women
2008,Dire Tune,Ethiopia,02:25:25,2 seconds ahead of 2nd-place finisher,Women
2009,Salina Kosgei,Kenya,02:32:16,1 second ahead of 2nd-place finisher,Women
2010,Teyba Erkesso,Ethiopia,02:26:11,3 seconds ahead of 2nd-place finisher,Women
2011,Caroline Kilel,Kenya,02:22:36,2 seconds ahead of 2nd-place finisher,Women
2012,Sharon Cherop,Kenya,02:31:50,2 seconds ahead of 2nd-place finisher,Women
2013,Rita Jeptoo,Kenya,02:26:25,2nd victory,Women
2014,Rita Jeptoo,Kenya,02:18:57,Course record later disqualified[6],Women
2014,Bizunesh Deba,Ethiopia,02:19:59,,Women
2015,Caroline Rotich,Kenya,02:24:55,,Women
2016,Atsede Baysa,Ethiopia,02:29:19,,Women
2017,Edna Kiplagat,Kenya,02:21:52,,Women
